lambda_nm,Tpct,T
1406.144769,99.3170517,0.993170517
1413.785151,99.1782064,0.991782064
1421.4246,99.0969462,0.990969462
1429.063426,99.0540762,0.990540762
1436.70163,99.0495963,0.990495963
1444.339213,99.0835066,0.990835066
1451.976173,99.1558069,0.991558069
1459.614066,99.1705221,0.991705221
1467.24947,99.3387978,0.993387978
1474.887052,99.372708,0.99372708
1482.525257,99.3682282,0.993682282
1490.163772,99.3445532,0.993445532
1497.805087,99.1481227,0.991481227
1505.444847,99.0476675,0.990476675
1513.08554,98.8896271,0.988896271
1520.726856,98.6931966,0.986931966
1528.366927,98.5735463,0.985735463
1536.00762,98.4155059,0.984155059
1543.646135,98.391831,0.98391831
1551.285273,98.3297659,0.983297659
1558.923788,98.3060909,0.983060909
1566.560437,98.3975864,0.983975864
1574.198642,98.3931065,0.983931065
1581.836846,98.3886266,0.983886266
1589.476606,98.2881714,0.982881714
1596.481217,98.1036312,0.981036312
936.495758,93.3882934,0.933882934
