  wavelength    amplitude        phase
8.99182094E+03 4.27574321E-15 -3.31487800E+02
8.96493198E+03 3.10461656E-15 -3.33931500E+02
8.93820337E+03 2.85060871E-15 -3.35680600E+02
8.91163365E+03 2.32418911E-15 -3.35006200E+02
8.88522143E+03 1.31544175E-15 -3.35852900E+02
8.85896531E+03 4.19791258E-16 -3.37677300E+02
8.83286391E+03 1.14091192E-15 -3.35047900E+02
8.80691586E+03 1.67647159E-15 -3.35875200E+02
8.78111982E+03 5.35133908E-16 -3.38797600E+02
8.75547446E+03 1.75441443E-15 -3.41189100E+02
8.72997845E+03 1.50531824E-15 -3.38849000E+02
8.70463051E+03 1.44851130E-15 -3.40363000E+02
8.67942933E+03 3.02472032E-15 -3.43194300E+02
8.65437365E+03 2.95822548E-15 -3.45450700E+02
8.62946222E+03 1.36100220E-15 -3.42326800E+02
8.60469379E+03 2.44445372E-15 -3.41808500E+02
8.58006714E+03 1.74402695E-15 -3.39231900E+02
8.55558105E+03 1.27426292E-15 -3.41086500E+02
8.53123432E+03 5.14247995E-15 -3.42221100E+02
8.50702576E+03 2.98687546E-15 -3.42659100E+02
8.48295420E+03 2.13756193E-15 -3.41736700E+02
8.45901849E+03 1.89909689E-15 -3.44485600E+02
8.43521747E+03 7.16747236E-16 -3.43472900E+02
8.41155001E+03 1.56068479E-15 -3.46438400E+02
8.38801499E+03 2.10461588E-15 -3.47866000E+02
8.36461131E+03 2.67993507E-15 -3.47252700E+02
8.34133786E+03 2.24567184E-15 -3.44412000E+02
8.31819356E+03 2.45753149E-15 -3.41835800E+02
8.29517734E+03 8.75507167E-16 -3.42692600E+02
8.27228814E+03 1.23095816E-15 -3.42373800E+02
8.24952491E+03 1.85397519E-15 -3.43561100E+02
8.22688661E+03 2.41921723E-15 -3.41803800E+02
8.20437222E+03 1.47692281E-15 -3.38818800E+02
8.18198073E+03 2.26172854E-15 -3.36262400E+02
8.15971112E+03 7.21928667E-16 -3.34184000E+02
8.13756241E+03 2.53841072E-15 -3.36614200E+02
8.11553362E+03 2.12384604E-15 -3.36168400E+02
8.09362377E+03 2.96173716E-16 -3.35789500E+02
8.07183190E+03 1.07986481E-15 -3.38560900E+02
8.05015707E+03 1.55634797E-15 -3.38953100E+02
8.02859833E+03 2.40460974E-15 -3.39602700E+02
8.00715475E+03 2.98763016E-15 -3.41143600E+02
7.98582542E+03 1.25739930E-15 -3.40728500E+02
7.96460941E+03 7.69642644E-16 -3.42253100E+02
7.94350584E+03 2.35315214E-15 -3.40344900E+02
7.92251380E+03 2.86707656E-15 -3.42302900E+02
7.90163243E+03 5.74765517E-16 -3.41651300E+02
7.88086084E+03 2.17444476E-15 -3.42382100E+02
7.86019817E+03 2.50395447E-15 -3.41015500E+02
7.83964356E+03 2.56476880E-15 -3.40538100E+02
7.81919618E+03 5.02331265E-16 -3.41564100E+02
7.79885518E+03 3.87741409E-15 -3.43271600E+02
7.77861974E+03 1.64072454E-15 -3.45484600E+02
7.75848903E+03 1.12698536E-15 -3.42658500E+02
7.73846225E+03 4.17255917E-15 -3.43001200E+02
7.71853860E+03 1.64985818E-15 -3.41845700E+02
7.69871727E+03 9.81086846E-16 -3.43396500E+02
7.67899748E+03 3.24453695E-15 -3.45656400E+02
7.65937846E+03 3.44388879E-16 -3.46694900E+02
7.63985943E+03 2.02537750E-15 -3.46028200E+02
