  wavelength    amplitude        phase
-4.64864865E+02 8.51190301E-23 -1.51230146E+00
-4.64887296E+02 4.15875649E-22 -4.13240938E+00
-4.64909729E+02 5.51343729E-22 -2.42395067E+00
-4.64932165E+02 1.56177107E-22 -1.73765406E+00
-4.64954603E+02 3.12733329E-22 -2.38569409E+00
-4.64977042E+02 9.34455966E-23 -2.76705973E+00
-4.64999484E+02 4.51209235E-22 -1.10755484E+00
-4.65021929E+02 2.39867226E-22 +7.27127416E-01
-4.65044375E+02 2.79000948E-22 +5.58844965E-01
-4.65066823E+02 1.86220307E-22 +2.52273874E+00
-4.65089274E+02 5.60319146E-23 +1.36105518E+00
-4.65111727E+02 4.01328574E-22 -3.99819500E-01
-4.65134182E+02 1.37120526E-22 +1.34467980E+00
-4.65156639E+02 7.63140758E-23 +4.31257744E+00
-4.65179098E+02 4.02071424E-22 +1.75269143E+00
-4.65201560E+02 3.46901879E-22 +3.81896596E+00
-4.65224024E+02 3.04944347E-22 +6.92464560E+00
-4.65246489E+02 2.78091836E-22 +5.83342015E+00
-4.65268957E+02 6.70768800E-22 +4.56921471E+00
-4.65291428E+02 5.00052610E-22 +2.64138985E+00
-4.65313900E+02 1.24674950E-22 +4.23809261E+00
-4.65336374E+02 2.53652766E-22 +4.19825477E+00
-4.65358851E+02 3.96712502E-22 +2.20299169E+00
-4.65381330E+02 1.77140076E-22 +8.30501943E-01
-4.65403811E+02 2.89925758E-22 +1.89478874E+00
-4.65426294E+02 2.22729186E-22 +3.76016506E+00
-4.65448780E+02 2.68938380E-22 +3.36264435E+00
-4.65471267E+02 4.00686685E-22 +8.89365814E-01
-4.65493757E+02 2.09701827E-22 -2.24542468E+00
-4.65516249E+02 3.55485700E-22 -4.92497966E+00
-4.65538743E+02 2.96339353E-22 -5.85282325E+00
-4.65561239E+02 8.53505035E-22 -5.40257195E+00
-4.65583738E+02 3.81454968E-22 -6.39270650E+00
-4.65606238E+02 1.72467445E-22 -9.25838282E+00
-4.65628741E+02 1.90842389E-22 -1.19174977E+01
-4.65651246E+02 4.25004351E-22 -1.28840843E+01
-4.65673753E+02 1.18404509E-22 -1.47606078E+01
-4.65696262E+02 2.57078204E-22 -1.39865850E+01
-4.65718774E+02 2.48011361E-22 -1.16499076E+01
-4.65741287E+02 3.28484417E-22 -1.31423349E+01
-4.65763803E+02 3.73270576E-22 -1.08071777E+01
-4.65786321E+02 3.80555072E-23 -1.13234540E+01
-4.65808841E+02 2.84060790E-22 -1.02758863E+01
-4.65831364E+02 3.28644674E-22 -9.36992736E+00
-4.65853888E+02 2.08659555E-22 -1.23130578E+01
-4.65876415E+02 2.82465993E-22 -1.29556462E+01
-4.65898944E+02 5.39117539E-22 -1.52615567E+01
-4.65921475E+02 8.51433748E-23 -1.61536658E+01
-4.65944008E+02 3.14726914E-22 -1.62759898E+01
-4.65966544E+02 3.52079054E-22 -1.78959261E+01
-4.65989081E+02 2.94344948E-22 -1.93804682E+01
-4.66011621E+02 1.55217706E-22 -2.18910850E+01
-4.66034163E+02 7.81990970E-23 -2.47872465E+01
-4.66056707E+02 3.31560251E-22 -2.73347365E+01
-4.66079254E+02 1.49031714E-22 -2.73768291E+01
-4.66101802E+02 4.60620769E-22 -2.81941402E+01
-4.66124353E+02 2.95214469E-22 -2.74312923E+01
-4.66146906E+02 1.99637436E-22 -3.04857235E+01
-4.66169461E+02 2.16829621E-22 -3.05403262E+01
-4.66192018E+02 3.20495537E-22 -3.20877148E+01
-4.66214577E+02 4.37478140E-22 -3.28829889E+01
-4.66237139E+02 1.78214969E-22 -3.28564067E+01
-4.66259703E+02 1.48013351E-22 -3.31894336E+01
-4.66282269E+02 1.49968347E-22 -3.40964771E+01
-4.66304837E+02 1.66019340E-22 -3.30995587E+01
-4.66327407E+02 3.68934555E-22 -3.19464173E+01
-4.66349980E+02 5.30993886E-22 -3.38079618E+01
-4.66372555E+02 2.55277844E-22 -3.54373881E+01
-4.66395132E+02 1.63642978E-22 -3.56604888E+01
-4.66417711E+02 1.01942058E-22 -3.61219292E+01
-4.66440292E+02 2.66877532E-22 -3.91267199E+01
-4.66462875E+02 3.94469098E-22 -4.02015729E+01
-4.66485461E+02 7.74612668E-22 -4.05410920E+01
-4.66508049E+02 1.63867136E-22 -3.98196888E+01
-4.66530639E+02 1.99734778E-22 -4.16790911E+01
-4.66553231E+02 3.84752835E-23 -4.34005696E+01
-4.66575826E+02 1.04032547E-22 -4.45083365E+01
-4.66598422E+02 1.55133349E-22 -4.15633301E+01
-4.66621021E+02 4.28418352E-22 -3.96539566E+01
-4.66643622E+02 2.36673945E-22 -3.84191974E+01
-4.66666225E+02 2.64397801E-22 -4.10512704E+01
-4.66688830E+02 2.37903834E-22 -4.08401716E+01
-4.66711438E+02 4.02068791E-22 -3.83767558E+01
-4.66734048E+02 3.12999976E-22 -4.14402018E+01
-4.66756660E+02 6.74661476E-22 -4.31497032E+01
-4.66779274E+02 2.26794707E-22 -4.19625301E+01
-4.66801890E+02 5.05444307E-22 -4.45713661E+01
-4.66824509E+02 1.96469476E-22 -4.23812150E+01
-4.66847129E+02 3.21913014E-22 -4.06420292E+01
-4.66869752E+02 3.23907524E-22 -3.82430645E+01
-4.66892377E+02 2.58250433E-22 -3.82339455E+01
-4.66915004E+02 2.91349117E-22 -4.05245718E+01
-4.66937634E+02 1.81835269E-22 -4.35796339E+01
-4.66960266E+02 1.44894415E-22 -4.64458163E+01
-4.66982899E+02 3.73533648E-22 -4.91672542E+01
-4.67005535E+02 7.20125571E-23 -4.80792107E+01
-4.67028174E+02 5.86103169E-22 -5.11033035E+01
-4.67050814E+02 3.92634142E-22 -5.11742488E+01
-4.67073457E+02 1.89524906E-22 -5.24570220E+01
-4.67096102E+02 2.48524415E-22 -5.32823055E+01
-4.67118749E+02 1.24088275E-22 -5.30144618E+01
-4.67141398E+02 8.83827333E-22 -5.27044718E+01
-4.67164049E+02 1.11604028E-22 -5.17509727E+01
-4.67186703E+02 3.09022549E-22 -5.16128574E+01
-4.67209359E+02 1.76576757E-22 -5.12741617E+01
-4.67232017E+02 6.07841398E-23 -5.37335431E+01
-4.67254677E+02 9.21602585E-23 -5.42569805E+01
-4.67277339E+02 1.87206948E-22 -5.54561402E+01
-4.67300004E+02 4.91268036E-22 -5.66749896E+01
-4.67322671E+02 2.16085528E-22 -5.93693497E+01
-4.67345340E+02 3.00014740E-22 -5.74829011E+01
-4.67368011E+02 2.57272731E-22 -5.67588613E+01
-4.67390684E+02 1.94106983E-22 -5.49848763E+01
-4.67413360E+02 1.38680006E-22 -5.42227197E+01
-4.67436038E+02 1.63662028E-22 -5.29884992E+01
-4.67458718E+02 3.24588243E-22 -5.12714618E+01
-4.67481400E+02 4.05021724E-22 -5.02276616E+01
-4.67504084E+02 3.90262272E-22 -4.77468396E+01
-4.67526771E+02 3.58328182E-22 -4.98361089E+01
-4.67549460E+02 2.43817019E-22 -5.03306893E+01
-4.67572151E+02 2.92920429E-22 -4.80316194E+01
-4.67594844E+02 1.30445487E-22 -5.02272721E+01
-4.67617539E+02 2.12565853E-22 -5.17953896E+01
-4.67640237E+02 2.32470302E-22 -5.26867605E+01
-4.67662937E+02 1.60571291E-22 -5.51259039E+01
-4.67685639E+02 1.26664986E-22 -5.58599977E+01
-4.67708343E+02 1.77291466E-22 -5.32777501E+01
-4.67731049E+02 2.11968771E-22 -5.62570864E+01
-4.67753758E+02 3.39695494E-22 -5.58463817E+01
-4.67776469E+02 3.30226078E-22 -5.62080502E+01
-4.67799182E+02 3.30941899E-22 -5.50471596E+01
-4.67821897E+02 2.96529780E-22 -5.49456848E+01
-4.67844614E+02 2.35562303E-22 -5.32794056E+01
-4.67867334E+02 3.19280851E-22 -5.16292511E+01
-4.67890056E+02 1.28016460E-22 -5.32097601E+01
-4.67912780E+02 5.44443784E-22 -5.55313000E+01
-4.67935506E+02 3.80975628E-22 -5.48628545E+01
-4.67958235E+02 6.58136791E-22 -5.22468572E+01
-4.67980966E+02 4.16891597E-22 -5.16515766E+01
-4.68003698E+02 6.17333390E-22 -5.02303504E+01
-4.68026434E+02 2.64734481E-22 -4.71130978E+01
-4.68049171E+02 3.88929678E-23 -4.81983529E+01
-4.68071910E+02 4.09511418E-22 -4.58191816E+01
-4.68094652E+02 4.93993426E-22 -4.47949173E+01
-4.68117396E+02 3.37304414E-22 -4.35396756E+01
-4.68140142E+02 3.12091649E-22 -4.04086386E+01
-4.68162891E+02 2.90938943E-22 -4.22531153E+01
-4.68185641E+02 2.31895187E-22 -4.29048587E+01
-4.68208394E+02 7.56968248E-22 -4.43564479E+01
-4.68231149E+02 4.64057128E-22 -4.22206826E+01
-4.68253906E+02 2.52781033E-22 -4.48987232E+01
-4.68276666E+02 2.89072267E-22 -4.33964649E+01
-4.68299427E+02 2.26702710E-22 -4.19083844E+01
-4.68322191E+02 3.05123361E-22 -4.04129502E+01
-4.68344957E+02 1.69336742E-22 -3.92900977E+01
-4.68367726E+02 8.77745652E-23 -4.15553183E+01
-4.68390496E+02 2.95039633E-22 -4.26581262E+01
-4.68413269E+02 5.25967491E-23 -4.10643113E+01
-4.68436044E+02 5.32718736E-22 -4.37294804E+01
-4.68458821E+02 1.79807777E-22 -4.10267981E+01
-4.68481600E+02 1.34180925E-22 -4.24830615E+01
-4.68504382E+02 1.80476865E-22 -3.95798272E+01
-4.68527166E+02 3.86112977E-22 -3.70354698E+01
-4.68549952E+02 2.56047536E-22 -3.55602107E+01
-4.68572740E+02 3.04521352E-22 -3.36242285E+01
-4.68595530E+02 3.67625212E-22 -3.14726860E+01
-4.68618323E+02 3.93205350E-22 -3.45181382E+01
-4.68641118E+02 1.08582704E-22 -3.52370027E+01
-4.68663915E+02 2.46983715E-22 -3.40214961E+01
-4.68686714E+02 2.78542072E-22 -3.53565828E+01
-4.68709516E+02 3.40437254E-22 -3.64305799E+01
-4.68732319E+02 1.98122828E-22 -3.41352812E+01
-4.68755125E+02 1.78916101E-22 -3.29197078E+01
-4.68777934E+02 3.56084555E-23 -2.99550771E+01
-4.68800744E+02 2.48640162E-22 -2.86569270E+01
-4.68823557E+02 3.60985083E-22 -2.94796932E+01
-4.68846371E+02 1.47079142E-22 -2.90032970E+01
-4.68869188E+02 1.36200819E-22 -3.13498804E+01
