  wavelength    amplitude        phase
9.69207610E+02 1.45061963E-02 +4.61318180E+03
9.69241540E+02 1.97143450E-02 +4.61232430E+03
9.69275470E+02 2.26760052E-02 +4.61146440E+03
9.69309400E+02 2.30033456E-02 +4.61059780E+03
9.69343340E+02 2.05907987E-02 +4.60971810E+03
9.69377270E+02 1.56611995E-02 +4.60880900E+03
9.69411220E+02 8.84678829E-03 +4.60779650E+03
9.69445160E+02 2.89239529E-03 +4.60572900E+03
9.69479100E+02 8.83773800E-03 +4.60358500E+03
9.69513050E+02 1.61980474E-02 +4.60255990E+03
9.69547000E+02 2.18576385E-02 +4.60163850E+03
9.69580950E+02 2.49591713E-02 +4.60074190E+03
9.69614910E+02 2.50857196E-02 +4.59985130E+03
9.69648870E+02 2.22384181E-02 +4.59895560E+03
9.69682830E+02 1.68324357E-02 +4.59803550E+03
9.69716790E+02 9.71724678E-03 +4.59701680E+03
9.69750750E+02 3.49558078E-03 +4.59516860E+03
9.69784720E+02 8.19039010E-03 +4.59294810E+03
9.69818690E+02 1.49783974E-02 +4.59189710E+03
9.69852660E+02 2.01376386E-02 +4.59098910E+03
9.69886630E+02 2.29719488E-02 +4.59012070E+03
9.69920610E+02 2.32342409E-02 +4.58926900E+03
9.69954590E+02 2.09780454E-02 +4.58842420E+03
9.69988570E+02 1.64918613E-02 +4.58757800E+03
9.70022550E+02 1.02596608E-02 +4.58671430E+03
9.70056540E+02 2.99002806E-03 +4.58569160E+03
9.70090530E+02 4.79268150E-03 +4.58841190E+03
9.70124520E+02 1.17175309E-02 +4.58746930E+03
9.70158510E+02 1.70643374E-02 +4.58659690E+03
9.70192510E+02 2.00152452E-02 +4.58573580E+03
9.70226500E+02 2.01051580E-02 +4.58488230E+03
9.70260500E+02 1.73374390E-02 +4.58404360E+03
9.70294510E+02 1.22328337E-02 +4.58324650E+03
9.70328510E+02 5.89089569E-03 +4.58263670E+03
9.70362520E+02 3.24527287E-03 +4.58347010E+03
9.70396530E+02 8.54118153E-03 +4.58327600E+03
9.70430540E+02 1.29811363E-02 +4.58254960E+03
9.70464560E+02 1.52721076E-02 +4.58176190E+03
9.70498570E+02 1.52097673E-02 +4.58097080E+03
9.70532590E+02 1.30315444E-02 +4.58020170E+03
9.70566610E+02 9.27740114E-03 +4.57949430E+03
9.70600640E+02 4.83181426E-03 +4.57902750E+03
9.70634660E+02 3.38038874E-03 +4.57964650E+03
9.70668690E+02 7.65407114E-03 +4.57951050E+03
9.70702720E+02 1.22831686E-02 +4.57885170E+03
9.70736760E+02 1.59619288E-02 +4.57808280E+03
9.70770790E+02 1.80497421E-02 +4.57726190E+03
9.70804830E+02 1.80770177E-02 +4.57639900E+03
9.70838870E+02 1.58456246E-02 +4.57548500E+03
9.70872920E+02 1.16086756E-02 +4.57447310E+03
9.70906960E+02 6.62620299E-03 +4.57313190E+03
9.70941010E+02 6.27944345E-03 +4.57103770E+03
9.70975060E+02 1.18389256E-02 +4.56959450E+03
9.71009110E+02 1.75791581E-02 +4.56852900E+03
9.71043170E+02 2.17249212E-02 +4.56755170E+03
9.71077220E+02 2.36050694E-02 +4.56659730E+03
9.71111280E+02 2.30422662E-02 +4.56563720E+03
9.71145350E+02 2.02875380E-02 +4.56464130E+03
9.71179410E+02 1.60949284E-02 +4.56355080E+03
9.71213480E+02 1.21988508E-02 +4.56223910E+03
9.71247550E+02 1.19472629E-02 +4.56067990E+03
9.71281620E+02 1.63009233E-02 +4.55929240E+03
9.71315690E+02 2.22168666E-02 +4.55815090E+03
9.71349770E+02 2.75049232E-02 +4.55711580E+03
9.71383850E+02 3.10015743E-02 +4.55611480E+03
9.71417930E+02 3.20684081E-02 +4.55511090E+03
9.71452010E+02 3.05729738E-02 +4.55407490E+03
9.71486100E+02 2.70759493E-02 +4.55296890E+03
9.71520190E+02 2.31681454E-02 +4.55173830E+03
9.71554280E+02 2.15652656E-02 +4.55036680E+03
9.71588370E+02 2.40487515E-02 +4.54899810E+03
9.71622470E+02 2.89856716E-02 +4.54776990E+03
9.71656570E+02 3.36604872E-02 +4.54666150E+03
9.71690670E+02 3.63374119E-02 +4.54561970E+03
9.71724770E+02 3.63010358E-02 +4.54460800E+03
9.71758870E+02 3.36198126E-02 +4.54359880E+03
9.71792980E+02 2.89871522E-02 +4.54256070E+03
9.71827090E+02 2.36819891E-02 +4.54144430E+03
9.71861200E+02 1.97291888E-02 +4.54018830E+03
9.71895320E+02 1.94942025E-02 +4.53882940E+03
9.71929440E+02 2.31685038E-02 +4.53755500E+03
9.71963560E+02 2.84792008E-02 +4.53642330E+03
9.71997680E+02 3.32859986E-02 +4.53537550E+03
9.72031800E+02 3.61949955E-02 +4.53435950E+03
9.72065930E+02 3.64057303E-02 +4.53334220E+03
9.72100060E+02 3.37561757E-02 +4.53229560E+03
9.72134190E+02 2.89037402E-02 +4.53118280E+03
9.72168320E+02 2.35861362E-02 +4.52994710E+03
9.72202460E+02 2.06385578E-02 +4.52855740E+03
9.72236600E+02 2.18614172E-02 +4.52715630E+03
9.72270740E+02 2.53225757E-02 +4.52590850E+03
9.72304880E+02 2.81273349E-02 +4.52479800E+03
9.72339030E+02 2.87582585E-02 +4.52376810E+03
9.72373180E+02 2.69038672E-02 +4.52278230E+03
9.72407330E+02 2.29982897E-02 +4.52181540E+03
9.72441480E+02 1.78691382E-02 +4.52083540E+03
9.72475640E+02 1.25382977E-02 +4.51977140E+03
9.72509800E+02 8.53725114E-03 +4.51845190E+03
9.72543960E+02 8.49221184E-03 +4.51686570E+03
9.72578120E+02 1.20943417E-02 +4.51555350E+03
9.72612280E+02 1.64381866E-02 +4.51448680E+03
9.72646450E+02 1.99137332E-02 +4.51350250E+03
9.72680620E+02 2.15832449E-02 +4.51253550E+03
9.72714790E+02 2.09140979E-02 +4.51155620E+03
9.72748970E+02 1.78947280E-02 +4.51053590E+03
9.72783150E+02 1.32122394E-02 +4.50941300E+03
9.72817330E+02 8.72909497E-03 +4.50801000E+03
9.72851510E+02 8.19640763E-03 +4.50625520E+03
9.72885690E+02 1.14283175E-02 +4.50483340E+03
9.72919880E+02 1.44197018E-02 +4.50372850E+03
9.72954070E+02 1.55882392E-02 +4.50275730E+03
9.72988260E+02 1.47422603E-02 +4.50186550E+03
9.73022450E+02 1.23499700E-02 +4.50104780E+03
9.73056650E+02 9.21121859E-03 +4.50032590E+03
9.73090850E+02 6.16543843E-03 +4.49975110E+03
9.73125050E+02 3.87363524E-03 +4.49943090E+03
9.73159250E+02 2.98496744E-03 +4.49949390E+03
9.73193460E+02 3.99355669E-03 +4.49950740E+03
9.73227670E+02 6.04264023E-03 +4.49912040E+03
9.73261880E+02 8.13744757E-03 +4.49851590E+03
9.73296090E+02 9.53209536E-03 +4.49781800E+03
9.73330310E+02 9.72318461E-03 +4.49709490E+03
9.73364530E+02 8.62930530E-03 +4.49641010E+03
9.73398750E+02 6.82419724E-03 +4.49586610E+03
9.73432970E+02 5.79934893E-03 +4.49557080E+03
9.73467190E+02 6.71895170E-03 +4.49526430E+03
9.73501420E+02 8.23964732E-03 +4.49469570E+03
9.73535650E+02 8.79688405E-03 +4.49397560E+03
9.73569880E+02 7.77820268E-03 +4.49321030E+03
9.73604120E+02 5.30857966E-03 +4.49250060E+03
9.73638360E+02 2.42632999E-03 +4.49226160E+03
9.73672600E+02 3.28321291E-03 +4.49284090E+03
9.73706840E+02 6.10717611E-03 +4.49232840E+03
9.73741080E+02 7.99910007E-03 +4.49159320E+03
9.73775330E+02 8.56361150E-03 +4.49084350E+03
9.73809580E+02 8.04602243E-03 +4.49014020E+03
9.73843830E+02 7.04267343E-03 +4.48951280E+03
9.73878090E+02 6.06236538E-03 +4.48894330E+03
9.73912340E+02 5.02704158E-03 +4.48837470E+03
9.73946600E+02 3.44747763E-03 +4.48783740E+03
9.73980860E+02 1.66654670E-03 +4.48795540E+03
9.74015130E+02 3.68789181E-03 +4.48841480E+03
9.74049390E+02 7.35845133E-03 +4.48778480E+03
9.74083660E+02 1.06033872E-02 +4.48696940E+03
9.74117930E+02 1.25250892E-02 +4.48610240E+03
9.74152210E+02 1.25993393E-02 +4.48521890E+03
9.74186480E+02 1.07620477E-02 +4.48433820E+03
9.74220760E+02 7.42007001E-03 +4.48348180E+03
9.74255040E+02 3.32922138E-03 +4.48271710E+03
9.74289320E+02 9.61137165E-04 +4.48425730E+03
9.74323610E+02 4.27935614E-03 +4.48397760E+03
9.74357900E+02 7.08876703E-03 +4.48332200E+03
9.74392190E+02 9.72920829E-03 +4.48266210E+03
9.74426480E+02 1.25316966E-02 +4.48196230E+03
9.74460770E+02 1.51296983E-02 +4.48118960E+03
9.74495070E+02 1.66017041E-02 +4.48034090E+03
9.74529370E+02 1.60343450E-02 +4.47941890E+03
9.74563670E+02 1.30412204E-02 +4.47840030E+03
9.74597980E+02 8.34868780E-03 +4.47714170E+03
9.74632290E+02 6.20200782E-03 +4.47517850E+03
9.74666600E+02 1.09013728E-02 +4.47350260E+03
9.74700910E+02 1.63928924E-02 +4.47235390E+03
9.74735220E+02 1.96769772E-02 +4.47135580E+03
9.74769540E+02 1.98757060E-02 +4.47043480E+03
9.74803860E+02 1.72864265E-02 +4.46959590E+03
9.74838180E+02 1.33014537E-02 +4.46888880E+03
9.74872500E+02 1.00829589E-02 +4.46836930E+03
9.74906830E+02 8.73991447E-03 +4.46790160E+03
9.74941160E+02 7.31262641E-03 +4.46724870E+03
9.74975490E+02 3.59138232E-03 +4.46632050E+03
9.75009830E+02 3.28418163E-03 +4.46917720E+03
9.75044160E+02 1.15064260E-02 +4.46804840E+03
9.75078500E+02 1.96637301E-02 +4.46707890E+03
