  wavelength    amplitude        phase
-3.05440223E+02 5.36858599E-23 +7.80397644E+01
-3.05466158E+02 1.11847232E-22 +8.09020108E+01
-3.05492097E+02 1.07685778E-22 +8.23433343E+01
-3.05518041E+02 1.28019548E-22 +8.13978802E+01
-3.05543989E+02 9.95095890E-23 +8.11361483E+01
-3.05569942E+02 3.52730549E-23 +8.31259060E+01
-3.05595899E+02 6.37633704E-23 +8.31312785E+01
-3.05621861E+02 1.41759664E-22 +8.13572977E+01
-3.05647827E+02 1.42438141E-22 +7.94776543E+01
-3.05673797E+02 9.77269318E-23 +8.13865104E+01
-3.05699772E+02 2.25721119E-22 +8.11283147E+01
-3.05725751E+02 4.01714834E-23 +7.96157666E+01
-3.05751734E+02 6.02568998E-23 +7.71724612E+01
-3.05777722E+02 4.86151855E-23 +7.45720240E+01
-3.05803715E+02 5.95192607E-23 +7.18167551E+01
-3.05829712E+02 2.63333611E-23 +7.19778761E+01
-3.05855713E+02 4.50509805E-23 +7.40063205E+01
-3.05881719E+02 4.78848765E-23 +7.11762455E+01
-3.05907729E+02 1.38209636E-22 +7.11395799E+01
-3.05933743E+02 1.42323977E-22 +7.00140861E+01
-3.05959762E+02 1.46267113E-22 +7.20338280E+01
-3.05985785E+02 7.84205946E-23 +7.13968101E+01
-3.06011813E+02 2.35454654E-23 +7.24987222E+01
-3.06037846E+02 1.05584298E-22 +7.55464902E+01
-3.06063882E+02 9.87745428E-23 +7.28918957E+01
-3.06089923E+02 1.44117024E-22 +7.52550478E+01
-3.06115969E+02 1.23101794E-22 +7.78155461E+01
-3.06142019E+02 5.71886972E-23 +7.99249059E+01
-3.06168073E+02 8.56838549E-23 +7.69087413E+01
-3.06194132E+02 1.16662536E-22 +7.76920347E+01
-3.06220195E+02 6.10198630E-23 +8.08255947E+01
-3.06246263E+02 9.77589868E-23 +7.90094349E+01
-3.06272335E+02 5.60643632E-23 +8.20950526E+01
-3.06298412E+02 1.01589616E-22 +7.93548638E+01
-3.06324493E+02 5.07945151E-23 +8.18775795E+01
-3.06350578E+02 1.54851992E-22 +8.36575820E+01
-3.06376668E+02 5.20023553E-23 +8.08741099E+01
-3.06402762E+02 5.90262683E-23 +8.23458063E+01
-3.06428861E+02 1.40862073E-22 +8.45592473E+01
-3.06454964E+02 1.08615743E-22 +8.66045566E+01
-3.06481072E+02 5.84715254E-23 +8.63038924E+01
-3.06507184E+02 8.57097087E-23 +8.64289823E+01
-3.06533301E+02 1.06325788E-22 +8.84889961E+01
-3.06559422E+02 1.32657278E-22 +9.00063457E+01
-3.06585547E+02 7.04802031E-23 +9.30334817E+01
-3.06611677E+02 3.76890195E-23 +9.25195575E+01
-3.06637812E+02 1.32650286E-23 +9.00329385E+01
-3.06663950E+02 1.29121687E-22 +8.86665309E+01
-3.06690094E+02 1.31344430E-22 +8.84310073E+01
-3.06716242E+02 1.95348704E-22 +8.89547894E+01
-3.06742394E+02 1.40594154E-22 +8.67672054E+01
-3.06768550E+02 4.45453600E-23 +8.82747002E+01
-3.06794712E+02 8.07142150E-23 +8.73823020E+01
-3.06820877E+02 1.41717785E-23 +8.54010284E+01
-3.06847047E+02 6.29516996E-23 +8.73114514E+01
-3.06873222E+02 1.91499023E-22 +9.02542317E+01
-3.06899401E+02 1.35840721E-22 +9.09401354E+01
-3.06925584E+02 4.06556465E-23 +9.33278593E+01
-3.06951772E+02 6.33839328E-23 +9.03990284E+01
-3.06977965E+02 3.12929918E-23 +9.07665366E+01
-3.07004162E+02 2.01342953E-23 +9.04476062E+01
-3.07030363E+02 5.21792249E-23 +9.00018890E+01
-3.07056569E+02 1.27111877E-22 +9.03515569E+01
-3.07082779E+02 3.82380012E-23 +8.73153888E+01
-3.07108994E+02 2.20070115E-22 +9.04135030E+01
-3.07135213E+02 2.69656213E-23 +8.84291937E+01
-3.07161437E+02 7.01531854E-23 +8.95557647E+01
-3.07187665E+02 5.06536576E-23 +8.99391639E+01
-3.07213898E+02 1.88576720E-23 +8.82461590E+01
-3.07240135E+02 1.74656040E-23 +8.68786394E+01
-3.07266376E+02 1.75338184E-22 +8.53786165E+01
-3.07292623E+02 6.40813729E-23 +8.81524210E+01
-3.07318873E+02 2.64500341E-23 +9.01716467E+01
-3.07345128E+02 1.06986566E-22 +8.90304180E+01
-3.07371388E+02 6.44142990E-23 +8.93782731E+01
-3.07397652E+02 1.41113736E-22 +8.64544828E+01
-3.07423920E+02 8.94046238E-23 +8.82970327E+01
-3.07450194E+02 2.14485068E-22 +8.69136189E+01
-3.07476471E+02 9.59848004E-23 +8.95633353E+01
-3.07502753E+02 6.57341030E-23 +9.20480884E+01
-3.07529040E+02 6.34944857E-23 +9.01718702E+01
-3.07555331E+02 1.12954470E-22 +9.13702315E+01
-3.07581626E+02 1.34267924E-22 +9.02822881E+01
-3.07607926E+02 9.44549634E-23 +8.96649404E+01
-3.07634231E+02 5.36136465E-23 +8.75488464E+01
-3.07660540E+02 1.08299411E-22 +8.90417624E+01
-3.07686853E+02 7.80280954E-23 +9.01503019E+01
-3.07713171E+02 1.45131554E-23 +9.26923984E+01
-3.07739494E+02 7.97628917E-23 +9.21410580E+01
-3.07765821E+02 1.24598627E-22 +9.42283085E+01
-3.07792152E+02 6.38791085E-23 +9.29212138E+01
-3.07818488E+02 7.75228829E-23 +9.44710681E+01
-3.07844829E+02 1.86855570E-22 +9.74637481E+01
-3.07871174E+02 3.64825918E-23 +9.83897928E+01
-3.07897523E+02 9.34473840E-23 +1.00077766E+02
-3.07923877E+02 6.13826142E-23 +9.72834885E+01
-3.07950236E+02 1.55675007E-22 +9.69891758E+01
-3.07976599E+02 1.36173297E-22 +9.44423912E+01
-3.08002967E+02 8.85028745E-23 +9.48965535E+01
-3.08029339E+02 8.87062452E-23 +9.29062145E+01
-3.08055716E+02 9.69335882E-23 +9.35049093E+01
-3.08082097E+02 2.33086794E-23 +9.44116271E+01
-3.08108482E+02 4.13045792E-23 +9.74208558E+01
-3.08134873E+02 7.15242318E-24 +9.59129005E+01
-3.08161267E+02 1.37373295E-22 +9.75560926E+01
-3.08187666E+02 3.04708336E-23 +9.92127950E+01
-3.08214070E+02 8.27095497E-23 +9.88434642E+01
-3.08240479E+02 1.94405593E-23 +9.69906001E+01
-3.08266891E+02 1.50533360E-22 +9.94352976E+01
-3.08293309E+02 7.16871467E-23 +9.63165406E+01
-3.08319731E+02 1.19252088E-22 +9.75740709E+01
-3.08346157E+02 5.45490676E-23 +9.80704186E+01
-3.08372588E+02 5.38862714E-23 +9.65831302E+01
-3.08399023E+02 1.03516698E-22 +9.43081970E+01
-3.08425463E+02 5.33838407E-23 +9.62753972E+01
-3.08451908E+02 4.11470347E-23 +9.44675618E+01
-3.08478357E+02 1.39961276E-22 +9.26065196E+01
-3.08504810E+02 1.64971728E-22 +9.18893668E+01
-3.08531269E+02 1.20405916E-22 +9.43846292E+01
-3.08557731E+02 1.47315292E-22 +9.43288113E+01
-3.08584198E+02 1.19551182E-22 +9.50577292E+01
-3.08610670E+02 1.27184587E-22 +9.28075908E+01
-3.08637147E+02 4.95906564E-23 +9.27051612E+01
-3.08663627E+02 5.78855109E-23 +9.46522976E+01
-3.08690113E+02 3.00200029E-23 +9.25004350E+01
-3.08716603E+02 6.32695113E-23 +9.42650027E+01
-3.08743097E+02 1.24708473E-22 +9.48386745E+01
-3.08769596E+02 8.11891723E-23 +9.68549872E+01
-3.08796100E+02 5.65492643E-23 +9.37963763E+01
-3.08822608E+02 8.29576326E-23 +9.43235746E+01
-3.08849121E+02 1.36103922E-22 +9.38911356E+01
-3.08875638E+02 1.79827740E-22 +9.25308584E+01
-3.08902160E+02 9.50232253E-23 +9.37093119E+01
-3.08928686E+02 9.31476447E-23 +9.31177796E+01
-3.08955217E+02 8.82332291E-23 +9.44833222E+01
-3.08981752E+02 5.55755446E-23 +9.32755047E+01
-3.09008292E+02 7.12453795E-23 +9.33993723E+01
-3.09034837E+02 7.81249361E-23 +9.53129101E+01
-3.09061386E+02 6.51156939E-23 +9.71004914E+01
-3.09087940E+02 2.87985260E-23 +9.81939383E+01
-3.09114498E+02 1.29190514E-22 +9.65601585E+01
-3.09141061E+02 1.64054101E-22 +9.55529391E+01
-3.09167628E+02 2.60712777E-23 +9.35300367E+01
-3.09194200E+02 1.10130030E-22 +9.07978114E+01
-3.09220777E+02 7.66122657E-23 +8.95491964E+01
-3.09247358E+02 1.36730811E-22 +8.81422596E+01
-3.09273943E+02 1.21833924E-22 +8.87810530E+01
-3.09300533E+02 1.43302363E-22 +8.76720559E+01
-3.09327128E+02 5.79006177E-23 +8.88214650E+01
-3.09353728E+02 8.04710208E-23 +9.08726009E+01
-3.09380332E+02 5.16265046E-23 +9.38344475E+01
-3.09406940E+02 1.72728184E-22 +9.37109808E+01
-3.09433553E+02 2.75411686E-23 +9.55792069E+01
-3.09460171E+02 5.74389758E-23 +9.61979166E+01
-3.09486793E+02 1.22004590E-22 +9.78310809E+01
-3.09513420E+02 5.37893945E-23 +9.58737875E+01
-3.09540051E+02 8.05999737E-23 +9.46094049E+01
-3.09566687E+02 4.94169822E-23 +9.32208542E+01
-3.09593328E+02 9.00743701E-23 +9.29104695E+01
-3.09619973E+02 8.98278269E-23 +9.00884342E+01
-3.09646623E+02 1.29759135E-22 +8.79931583E+01
-3.09673277E+02 9.70637067E-23 +8.71420218E+01
-3.09699936E+02 5.05953562E-23 +8.65824870E+01
-3.09726600E+02 9.68588439E-23 +8.92799638E+01
-3.09753268E+02 8.64499472E-23 +8.95945330E+01
-3.09779941E+02 9.23517628E-23 +9.12902702E+01
-3.09806618E+02 7.02500765E-23 +8.90729592E+01
-3.09833300E+02 1.80838437E-23 +8.76440671E+01
-3.09859986E+02 5.98995360E-23 +8.83365643E+01
-3.09886677E+02 3.31112643E-24 +8.61265004E+01
-3.09913373E+02 2.15446109E-23 +8.80246899E+01
-3.09940073E+02 4.72772696E-23 +8.89843957E+01
-3.09966778E+02 1.42497085E-22 +8.89515507E+01
-3.09993488E+02 4.26543628E-23 +8.64470235E+01
-3.10020202E+02 8.11101563E-23 +8.56526005E+01
-3.10046921E+02 1.20431635E-22 +8.30126924E+01
-3.10073644E+02 1.24324085E-22 +8.05824325E+01
-3.10100372E+02 8.81072342E-23 +8.20345450E+01
-3.10127104E+02 4.33798980E-23 +8.36250073E+01
-3.10153842E+02 2.04234971E-22 +8.27764488E+01
