  wavelength    amplitude        phase
9.21600990E+02 8.88632399E-06 -6.61444160E+03
9.21652120E+02 2.27078222E-06 -6.61350760E+03
9.21703250E+02 2.88146419E-06 -6.61292930E+03
9.21754390E+02 3.09499226E-06 -6.61550660E+03
9.21805540E+02 7.84060061E-06 -6.61348260E+03
9.21856690E+02 1.13814507E-05 -6.61217130E+03
9.21907850E+02 1.46688561E-05 -6.61075590E+03
9.21959020E+02 1.31105130E-05 -6.60930920E+03
9.22010190E+02 9.68644940E-06 -6.60804820E+03
9.22061360E+02 7.40554002E-06 -6.60650080E+03
9.22112540E+02 4.87265503E-06 -6.60343040E+03
9.22163730E+02 9.65761451E-06 -6.60052070E+03
9.22214920E+02 8.61046230E-06 -6.59791540E+03
9.22266120E+02 1.02996684E-05 -6.60089320E+03
9.22317330E+02 1.76617895E-05 -6.59829080E+03
9.22368540E+02 1.78956537E-05 -6.59581980E+03
9.22419750E+02 1.40872496E-05 -6.59320600E+03
9.22470970E+02 9.49367210E-06 -6.59094400E+03
9.22522200E+02 5.64594802E-06 -6.59016910E+03
9.22573430E+02 1.17354186E-05 -6.58889790E+03
9.22624670E+02 6.62833192E-06 -6.58678950E+03
9.22675920E+02 1.23329644E-05 -6.58836890E+03
9.22727160E+02 2.56631956E-05 -6.58618670E+03
9.22778420E+02 2.14842475E-05 -6.58395240E+03
9.22829680E+02 1.24900184E-05 -6.58112070E+03
9.22880950E+02 1.32936786E-05 -6.57854460E+03
9.22932220E+02 1.08153668E-05 -6.57715200E+03
9.22983500E+02 1.02979581E-05 -6.57599690E+03
9.23034780E+02 4.69549891E-06 -6.57595760E+03
9.23086070E+02 2.11138412E-05 -6.57498820E+03
9.23137370E+02 3.01238226E-05 -6.57305160E+03
9.23188670E+02 2.42157637E-05 -6.57071890E+03
9.23239970E+02 2.12018355E-05 -6.56792540E+03
9.23291290E+02 2.24320097E-05 -6.56557740E+03
9.23342600E+02 1.43292875E-05 -6.56346940E+03
9.23393930E+02 6.45577966E-06 -6.56638850E+03
9.23445260E+02 1.54439885E-05 -6.56384930E+03
9.23496590E+02 1.73626933E-05 -6.56211000E+03
9.23547930E+02 1.14814285E-05 -6.56049580E+03
9.23599280E+02 2.52188408E-06 -6.55896360E+03
9.23650630E+02 5.65588684E-06 -6.56064720E+03
9.23701990E+02 9.87386054E-06 -6.55877810E+03
9.23753350E+02 5.17125120E-06 -6.55625140E+03
9.23804720E+02 7.69831469E-06 -6.55884110E+03
9.23856100E+02 9.50712964E-06 -6.55651540E+03
9.23907480E+02 5.01478654E-06 -6.55364400E+03
9.23958870E+02 7.64056654E-06 -6.55663040E+03
9.24010260E+02 4.83640238E-06 -6.55407890E+03
9.24061660E+02 5.73188486E-06 -6.55611920E+03
9.24113060E+02 7.03345114E-06 -6.55424070E+03
9.24164470E+02 1.07263987E-05 -6.55400690E+03
9.24215880E+02 2.58104744E-05 -6.55240120E+03
9.24267300E+02 2.80388491E-05 -6.55052580E+03
9.24318730E+02 1.52016752E-05 -6.54876200E+03
9.24370160E+02 6.75830282E-06 -6.54780280E+03
9.24421600E+02 6.65390855E-06 -6.54594550E+03
9.24473050E+02 7.99605378E-06 -6.54335720E+03
9.24524490E+02 8.76083375E-06 -6.54145110E+03
9.24575950E+02 7.41722873E-06 -6.53990750E+03
9.24627410E+02 3.78589157E-06 -6.53742850E+03
9.24678880E+02 1.07181197E-05 -6.54028420E+03
9.24730350E+02 1.61850487E-05 -6.53810370E+03
9.24781830E+02 1.04926713E-05 -6.53590000E+03
9.24833310E+02 5.07424773E-06 -6.53888010E+03
9.24884800E+02 7.52744399E-06 -6.53609960E+03
9.24936300E+02 5.11437337E-06 -6.53305760E+03
9.24987800E+02 1.48812177E-05 -6.53012590E+03
9.25039300E+02 2.63136446E-05 -6.52808790E+03
9.25090820E+02 2.56557995E-05 -6.52604850E+03
