  wavelength    amplitude        phase
-3.76839028E+02 4.17707947E-23 -8.81284660E-01
-3.76872866E+02 2.55246926E-22 +2.16208629E+00
-3.76906710E+02 2.69258972E-22 +3.28322727E+00
-3.76940560E+02 3.63218131E-22 +5.42616948E-01
-3.76974416E+02 1.68498999E-22 +2.64418611E+00
-3.77008278E+02 2.26075588E-22 +3.72649172E+00
-3.77042146E+02 3.96193658E-23 +5.84717352E+00
-3.77076020E+02 4.58878195E-22 +6.81522386E+00
-3.77109901E+02 2.19064224E-22 +5.29300465E+00
-3.77143787E+02 1.18638429E-22 +7.09800459E+00
-3.77177680E+02 1.74421250E-22 +9.51070904E+00
-3.77211578E+02 1.79563929E-23 +1.09840723E+01
-3.77245483E+02 2.98624601E-22 +1.38208687E+01
-3.77279394E+02 3.92433659E-23 +1.68478620E+01
-3.77313311E+02 2.15638817E-22 +1.61604909E+01
-3.77347234E+02 2.49586807E-22 +1.69679452E+01
-3.77381163E+02 1.71851526E-22 +1.41831150E+01
-3.77415098E+02 3.54354518E-22 +1.70440006E+01
-3.77449039E+02 8.50377760E-23 +1.74015226E+01
-3.77482987E+02 6.74993623E-23 +1.43119003E+01
-3.77516940E+02 1.47115175E-22 +1.53559288E+01
-3.77550900E+02 1.77364385E-22 +1.24326933E+01
-3.77584866E+02 2.22097786E-22 +1.54060540E+01
-3.77618838E+02 2.31646655E-22 +1.40234608E+01
-3.77652816E+02 3.74414334E-22 +1.28118951E+01
-3.77686800E+02 1.25339414E-22 +1.49751059E+01
-3.77720790E+02 1.16705417E-22 +1.79604655E+01
-3.77754786E+02 3.46333836E-22 +1.55686759E+01
-3.77788789E+02 1.42301198E-22 +1.39689370E+01
-3.77822797E+02 2.16145302E-22 +1.12630733E+01
-3.77856812E+02 2.21155263E-22 +8.20494710E+00
-3.77890833E+02 1.49507306E-22 +6.74710417E+00
-3.77924860E+02 2.21406748E-22 +7.73247567E+00
-3.77958893E+02 2.50441465E-22 +4.98563761E+00
-3.77992932E+02 2.25892497E-22 +8.06611834E+00
-3.78026978E+02 1.17039501E-22 +9.76034063E+00
-3.78061029E+02 1.41333440E-22 +7.45995921E+00
-3.78095087E+02 7.01972281E-23 +7.66662522E+00
-3.78129150E+02 2.20244510E-22 +5.47770833E+00
-3.78163220E+02 1.86307570E-22 +4.93181979E+00
-3.78197296E+02 2.25054934E-22 +3.34576824E+00
-3.78231378E+02 1.42755199E-22 +3.70299185E+00
-3.78265467E+02 4.78304527E-23 +6.24857113E+00
-3.78299561E+02 1.70213012E-22 +7.78988418E+00
-3.78333662E+02 1.96913266E-22 +6.02612034E+00
-3.78367769E+02 2.49108009E-22 +7.28668006E+00
-3.78401881E+02 9.73670846E-23 +5.55320381E+00
-3.78436001E+02 3.57330678E-22 +7.02235852E+00
-3.78470126E+02 3.26724878E-22 +3.93224331E+00
-3.78504257E+02 1.92090107E-22 +9.30107005E-01
-3.78538395E+02 1.20881662E-22 +2.47942005E+00
-3.78572538E+02 1.20226719E-22 +2.54230085E+00
-3.78606688E+02 2.42387736E-22 +1.90954757E+00
-3.78640844E+02 1.78040855E-22 +2.46432736E+00
-3.78675006E+02 1.31518098E-22 +1.66771293E+00
-3.78709175E+02 1.55196415E-22 +2.39842108E-01
-3.78743349E+02 1.16761800E-22 +1.92829075E+00
-3.78777530E+02 7.90485637E-23 +2.50754212E+00
-3.78811717E+02 2.69846861E-22 +2.57413828E+00
-3.78845910E+02 9.09813466E-23 +3.16567123E-01
-3.78880109E+02 1.25767163E-22 -1.68870926E+00
-3.78914314E+02 2.19785475E-22 +2.79836187E-01
-3.78948526E+02 7.61105364E-23 +6.05508588E-01
-3.78982743E+02 6.59331521E-23 +2.65744572E+00
-3.79016967E+02 1.84286784E-22 +5.55592861E+00
-3.79051197E+02 8.68669390E-23 +4.49437773E+00
-3.79085434E+02 1.11882321E-22 +6.02728010E+00
