  wavelength    amplitude        phase
1.01067300E+03 2.23497853E-09 +5.31139425E+01
1.01075491E+03 4.06226415E-09 +5.31139425E+01
1.01083684E+03 7.73847698E-09 +5.31139425E+01
1.01091878E+03 4.85488413E-09 +5.31139425E+01
1.01100073E+03 8.25601456E-09 +5.31139425E+01
1.01108270E+03 9.05466292E-09 +5.31139425E+01
1.01116468E+03 3.18364960E-09 +5.31139425E+01
1.01124667E+03 7.67871040E-09 +5.31139425E+01
1.01132868E+03 6.91594279E-09 +5.31139425E+01
1.01141070E+03 5.98098328E-09 +5.31139425E+01
1.01149273E+03 4.94183965E-09 +5.31139425E+01
1.01157478E+03 8.55140355E-09 +5.31139425E+01
1.01165684E+03 5.72325525E-09 +5.31139425E+01
1.01173891E+03 5.17978100E-09 +5.31139425E+01
1.01182100E+03 1.01389445E-08 +5.31139425E+01
1.01190310E+03 8.12267835E-09 +5.31139425E+01
1.01198521E+03 6.06811867E-09 +5.31139425E+01
1.01206733E+03 1.03327656E-08 +5.31139425E+01
1.01214947E+03 4.95673545E-09 +5.31139425E+01
1.01223163E+03 5.50605262E-09 +5.31139425E+01
1.01231379E+03 6.84940120E-09 +5.31139425E+01
1.01239597E+03 1.09153006E-08 +5.31139425E+01
1.01247817E+03 6.26245489E-09 +5.31139425E+01
1.01256037E+03 7.01550435E-09 +5.31139425E+01
1.01264259E+03 9.70461772E-09 +5.31139425E+01
1.01272483E+03 9.89744098E-09 +5.31139425E+01
1.01280707E+03 8.84768231E-09 +5.31139425E+01
1.01288933E+03 1.28883949E-08 +5.31139425E+01
1.01297161E+03 7.57726534E-09 +5.31139425E+01
1.01305389E+03 6.87435380E-09 +5.31139425E+01
1.01313619E+03 1.07269193E-08 +5.31139425E+01
1.01321851E+03 1.31841645E-08 +5.31139425E+01
1.01330083E+03 4.65944975E-09 +5.31139425E+01
1.01338317E+03 1.02333713E-08 +5.31139425E+01
1.01346553E+03 1.11731209E-08 +5.31139425E+01
1.01354789E+03 1.41167993E-08 +5.31139425E+01
1.01363027E+03 6.33847850E-09 +5.31139425E+01
1.01371267E+03 1.39503556E-08 +5.31139425E+01
1.01379507E+03 9.26396519E-09 +5.31139425E+01
1.01387749E+03 1.42356285E-08 +5.31139425E+01
1.01395993E+03 1.16246772E-08 +5.31139425E+01
1.01404238E+03 1.63487258E-08 +5.31139425E+01
1.01412484E+03 1.00373261E-08 +5.31139425E+01
1.01420731E+03 1.34724960E-08 +5.31139425E+01
1.01428980E+03 1.34602523E-08 +5.31139425E+01
1.01437230E+03 2.19255825E-08 +5.31139425E+01
1.01445481E+03 1.19525060E-08 +5.31139425E+01
1.01453734E+03 1.43710870E-08 +5.31139425E+01
1.01461988E+03 1.42837776E-08 +5.31139425E+01
1.01470244E+03 2.93507595E-08 +5.31139425E+01
1.01478500E+03 6.03656828E-09 +5.31139425E+01
1.01486759E+03 1.20485283E-08 +5.31139425E+01
1.01495018E+03 1.54869826E-08 +5.31139425E+01
1.01503279E+03 2.06137131E-08 +5.31139425E+01
1.01511541E+03 2.00032600E-08 +5.31139425E+01
1.01519805E+03 3.12663991E-08 +5.31139425E+01
1.01528070E+03 5.62781986E-09 +5.31139425E+01
1.01536336E+03 1.72597937E-08 +5.31139425E+01
1.01544603E+03 2.64167662E-08 +5.31139425E+01
1.01552872E+03 3.82435638E-08 +5.31139425E+01
1.01561142E+03 5.36540451E-09 +5.31139425E+01
1.01569414E+03 4.07450604E-08 +5.31139425E+01
1.01577687E+03 1.37862461E-08 +5.31139425E+01
1.01585961E+03 3.29326400E-08 +5.31139425E+01
1.01594237E+03 7.80821052E-09 +5.31139425E+01
1.01602514E+03 3.04441915E-08 +5.31139425E+01
