  wavelength    amplitude        phase
9.69275470E+02 2.26760052E-02 +3.78321940E+02
9.69309400E+02 2.30033456E-02 +3.78465140E+02
9.69343340E+02 2.05907987E-02 +3.78595280E+02
9.69377270E+02 1.56611995E-02 +3.78695980E+02
9.69411220E+02 8.84678829E-03 +3.78693270E+02
9.69445160E+02 2.89239529E-03 +3.77635550E+02
9.69479100E+02 8.83773800E-03 +3.76501380E+02
9.69513050E+02 1.61980474E-02 +3.76486050E+02
9.69547000E+02 2.18576385E-02 +3.76574420E+02
9.69580950E+02 2.49591713E-02 +3.76687630E+02
9.69614910E+02 2.50857196E-02 +3.76806910E+02
9.69648870E+02 2.22384181E-02 +3.76920970E+02
9.69682830E+02 1.68324357E-02 +3.77010690E+02
9.69716790E+02 9.71724678E-03 +3.77001770E+02
9.69750750E+02 3.49558078E-03 +3.76163360E+02
9.69784720E+02 8.19039010E-03 +3.74952700E+02
9.69818690E+02 1.49783974E-02 +3.74911450E+02
9.69852660E+02 2.01376386E-02 +3.75013320E+02
9.69886630E+02 2.29719488E-02 +3.75154670E+02
9.69920610E+02 2.32342409E-02 +3.75312770E+02
9.69954590E+02 2.09780454E-02 +3.75477790E+02
9.69988570E+02 1.64918613E-02 +3.75641420E+02
9.70022550E+02 1.02596608E-02 +3.75787450E+02
9.70056540E+02 2.99002806E-03 +3.75774530E+02
9.70090530E+02 4.79268150E-03 +3.79504720E+02
9.70124520E+02 1.17175309E-02 +3.79571870E+02
9.70158510E+02 1.70643374E-02 +3.79709280E+02
9.70192510E+02 2.00152452E-02 +3.79857980E+02
9.70226500E+02 2.01051580E-02 +3.80014250E+02
9.70260500E+02 1.73374390E-02 +3.80185400E+02
9.70294510E+02 1.22328337E-02 +3.80398130E+02
9.70328510E+02 5.89089569E-03 +3.80798110E+02
9.70362520E+02 3.24527287E-03 +3.82641280E+02
9.70396530E+02 8.54118153E-03 +3.83456960E+02
9.70430540E+02 1.29811363E-02 +3.83740400E+02
9.70464560E+02 1.52721076E-02 +3.83962470E+02
9.70498570E+02 1.52097673E-02 +3.84181210E+02
9.70532590E+02 1.30315444E-02 +3.84421900E+02
9.70566610E+02 9.27740114E-03 +3.84724280E+02
9.70600640E+02 4.83181426E-03 +3.85267330E+02
9.70634660E+02 3.38038874E-03 +3.86896090E+02
9.70668690E+02 7.65407114E-03 +3.87769920E+02
9.70702720E+02 1.22831686E-02 +3.88120870E+02
